Row Idx,Title,Candidate Idx,Candidate Title,Score
3796,David Lee Roth - Just Like Paradise,222038,David Lee Roth - Just Like Paradise,0.9972257279040159
3797,Poison - Nothin’ But A Good Time,222117,Poison - Nothin' But A Good Time,0.9292695217309305
3798,White Lion - Wait,225598,White Lion - Wait,0.9978487578581859
3799,Taylor Dayne - Prove Your Love,222229,Taylor Dayne - Prove Your Love,0.9965980106624799
3800,Chicago - Look Away,222315,Chicago - Look Away,0.998572342621124
3801,Bobby Brown - My Prerogative,222390,Bobby Brown - My Prerogative,0.9950832428932783
3802,Poison - Every Rose Has Its Thorn,222435,Poison - Every Rose Has Its Thorn,0.9986776260466634
3803,Paula Abdul - Straight Up,223839,Paula Abdul - Straight Up,0.9938440032269803
3804,Janet Jackson - Miss You Much,302071,Janet Jackson - Miss You Much,0.9969668691590446
3805,Paula Abdul - Cold Hearted,223841,Paula Abdul - Cold Hearted,0.9945642834439832
3806,Bette Midler - Wind Beneath My Wings,222650,Bette Midler - Wind Beneath My Wings,0.9988340545118412
3807,Milli Vanilli - Girl You Know Its True,222700,Milli Vanilli - Girl You Know It's True,0.9205918031887771
3808,"Will To Power - Baby, I Love Your Way-Freebird",252046,"Will To Power - Baby, I Love Your Way / Freebird",0.8747216185782285
3809,Anita Baker - Giving You The Best That I Got,222770,Anita Baker - Giving You the Best That I Got,0.9987759369969017
3810,Richard Marx - Right Here Waiting,222860,Richard Marx - Right Here Waiting,0.9951408960282706
3811,Boy Meets Girl - Waiting For A Star To Fall,222871,Boy Meets Girl - Waiting for a Star to Fall,0.9994563688868785
3812,Debbie Gibson - Lost In Your Eyes,222963,Debbie Gibson - Lost in Your Eyes,0.9975282739258107
3813,Gloria Estefan - Don’t Wanna Lose You,223023,Gloria Estefan - Don't Wanna Lose You,0.9247320030433849
3814,Warrant - Heavan,309872,Warrant - Heaven,0.7740847657418011
3815,Milli Vanilli - Girl I’m Gonna Miss You,292205,Milli Vanilli - I'm Gonna Miss You,0.8572596985959184
3816,Roxette - The Look,223152,Roxette - The Look,0.9942647304788668
3817,Fine Young Cannibals - She Drives Me Crazy,320202,Fine Young Cannibals - She Drives Me Crazy,0.9988412676664484
3818,Bobby Brown - On Our Own,223278,Bobby Brown - On Our Own,0.9975345072927493
3819,Phil Collins - Two Hearts,223316,Phil Collins - Two Hearts,0.9994760095564754
3820,Milli Vanilli - Blame It On The Rain,338408,Milli Vanilli - Blame It on the Rain,0.9986890738176363
3821,Roxette - Listen To Your Heart,315725,Roxette - Listen To Your Heart,0.9937483021471961
3822,Bon Jovi - I’ll Be There For You,276585,Bon Jovi - I'll Be There For You,0.8101278152770558
3823,Simply Red - If You Don’t Know Be By Now,69272,Simply Red - If You Don't Know Me By Now,0.8932563815019504
3824,Madonna - Like A Prayer,223662,Madonna - Like a Prayer,0.9987284700229545
